architecture,subset,feature_config,rolling_window,lag_step,sequence_window,hidden_size,learning_rate,seed,n_features,n_train_windows,n_val_windows,best_epoch,val_rmse,val_mae,training_duration_seconds
lstm,FD002,raw,,,30,64,0.001,42,16,37051,9168,4,15.292889155300184,11.005074569537348,80.6899736779742
lstm,FD002,raw+rolling_mean,5,,30,64,0.001,42,32,37051,9168,2,15.719700612844585,11.515263992130112,70.25525617366657
lstm,FD002,raw+rolling_mean,20,,30,64,0.001,42,32,37051,9168,2,13.881569041785323,10.062643001320078,68.49097349727526
lstm,FD002,raw+rolling_std,5,,30,64,0.001,42,32,37051,9168,2,18.000193573390874,13.28294304410893,70.5123957679607
lstm,FD002,raw+rolling_std,20,,30,64,0.001,42,32,37051,9168,2,18.763159062774925,13.770217997220266,72.62210380937904
lstm,FD002,raw+rolling_min,5,,30,64,0.001,42,32,37051,9168,2,17.010518882902677,12.358741708861317,75.78679146477953
lstm,FD002,raw+rolling_min,20,,30,64,0.001,42,32,37051,9168,2,16.49007990435285,11.686866356094853,75.3894997453317
lstm,FD002,raw+rolling_max,5,,30,64,0.001,42,32,37051,9168,2,16.256681742518143,12.03086353903864,70.79268346494064
lstm,FD002,raw+rolling_max,20,,30,64,0.001,42,32,37051,9168,2,16.01956127204118,12.078488006926163,71.82498865900561
lstm,FD002,raw+rolling_slope,5,,30,64,0.001,42,32,37051,9168,2,15.95090295700766,11.598067249427428,71.39109349669889
lstm,FD002,raw+rolling_slope,20,,30,64,0.001,42,32,37051,9168,3,12.874179320904622,9.172793846646483,82.82574393041432
lstm,FD002,raw+rolling_delta,5,,30,64,0.001,42,32,37051,9168,2,15.760879232759947,11.596331404723603,74.31737452698871
lstm,FD002,raw+rolling_delta,20,,30,64,0.001,42,32,37051,9168,1,13.137209419651628,9.235640493814833,64.32579444814473
lstm,FD002,raw+lag,,1,30,64,0.001,42,32,37051,9168,4,16.073423444818708,12.115785941281674,93.95258001983166
lstm,FD002,raw+lag,,5,30,64,0.001,42,32,37051,9168,2,15.387031732843665,11.130241007858604,71.8612188026309
lstm,FD002,raw,,,60,64,0.001,42,16,30811,7608,4,13.958872062281152,10.229475888382245,194.40930917207152
lstm,FD002,raw+rolling_mean,5,,60,64,0.001,42,32,30811,7608,3,15.114640654965575,11.014671594344206,163.8560735047795
lstm,FD002,raw+rolling_mean,20,,60,64,0.001,42,32,30811,7608,3,13.947225371750404,10.381102781650757,159.15733471605927
lstm,FD002,raw+rolling_std,5,,60,64,0.001,42,32,30811,7608,2,18.58135494386112,14.240998881357818,152.8664624551311
lstm,FD002,raw+rolling_std,20,,60,64,0.001,42,32,30811,7608,2,18.938407200174026,14.286675985692975,158.53804711205885
lstm,FD002,raw+rolling_min,5,,60,64,0.001,42,32,30811,7608,3,15.445371998659825,10.914746890766066,160.17827557306737
lstm,FD002,raw+rolling_min,20,,60,64,0.001,42,32,30811,7608,3,16.17469025368967,11.96239936443929,159.50367539189756
lstm,FD002,raw+rolling_max,5,,60,64,0.001,42,32,30811,7608,5,15.659050695337257,10.8293449054526,183.85088920593262
lstm,FD002,raw+rolling_max,20,,60,64,0.001,42,32,30811,7608,3,15.893669821964536,11.482037519198792,154.7995178680867
lstm,FD002,raw+rolling_slope,5,,60,64,0.001,42,32,30811,7608,3,15.878246635855998,11.70244995907799,158.8159999847412
lstm,FD002,raw+rolling_slope,20,,60,64,0.001,42,32,30811,7608,4,13.352954465123101,9.567755647888946,181.14373195404187
lstm,FD002,raw+rolling_delta,5,,60,64,0.001,42,32,30811,7608,2,15.47407905896807,11.964547603214836,144.96877464512363
lstm,FD002,raw+rolling_delta,20,,60,64,0.001,42,32,30811,7608,1,13.88327881607151,9.919703954726959,132.2632547863759
lstm,FD002,raw+lag,,1,60,64,0.001,42,32,30811,7608,3,14.849717590320235,10.659516277933566,164.12592435907573
lstm,FD002,raw+lag,,5,60,64,0.001,42,32,30811,7608,2,15.414379645768912,11.820809993995736,143.73266652598977
