architecture,subset,feature_config,rolling_window,lag_step,sequence_window,hidden_size,learning_rate,seed,n_features,n_train_windows,n_val_windows,best_epoch,val_rmse,val_mae,training_duration_seconds
lstm,FD001,raw,,,30,64,0.001,42,15,14459,3272,8,13.562012557291284,9.522140119819102,46.71888704504818
lstm,FD001,raw+rolling_mean,5,,30,64,0.001,42,30,14459,3272,8,14.629918178573496,10.146195122289578,44.775394038297236
lstm,FD001,raw+rolling_mean,20,,30,64,0.001,42,30,14459,3272,3,11.75069800521869,8.507350791335643,30.810473171062768
lstm,FD001,raw+rolling_std,5,,30,64,0.001,42,30,14459,3272,3,17.241892549307135,13.446158171750373,31.300150756258518
lstm,FD001,raw+rolling_std,20,,30,64,0.001,42,30,14459,3272,1,17.976451469163457,13.188311003797521,23.716744880191982
lstm,FD001,raw+rolling_min,5,,30,64,0.001,42,30,14459,3272,6,14.203299814724772,10.03989172572541,40.04067885503173
lstm,FD001,raw+rolling_min,20,,30,64,0.001,42,30,14459,3272,3,14.153345982791574,10.48718275186608,28.96574225835502
lstm,FD001,raw+rolling_max,5,,30,64,0.001,42,30,14459,3272,3,14.342468756532966,10.562526845838306,29.037271689623594
lstm,FD001,raw+rolling_max,20,,30,64,0.001,42,30,14459,3272,2,13.339327256458619,9.73719520478687,26.171197324991226
lstm,FD001,raw+rolling_slope,5,,30,64,0.001,42,30,14459,3272,3,12.904465571822067,9.868967996792376,28.786933791823685
lstm,FD001,raw+rolling_slope,20,,30,64,0.001,42,30,14459,3272,5,10.991601560604195,7.483124386559612,36.06181347928941
lstm,FD001,raw+rolling_delta,5,,30,64,0.001,42,30,14459,3272,3,13.087648881318177,9.987675466203566,29.20170476520434
lstm,FD001,raw+rolling_delta,20,,30,64,0.001,42,30,14459,3272,3,10.167840006801502,7.450967072994815,29.08484899904579
lstm,FD001,raw+lag,,1,30,64,0.001,42,30,14459,3272,3,14.533910591837715,10.368448892920814,29.100459306966513
lstm,FD001,raw+lag,,5,30,64,0.001,42,30,14459,3272,3,13.04739406797208,9.558280886185052,29.19724089698866
lstm,FD001,raw,,,60,64,0.001,42,15,12059,2672,7,11.265617115278914,8.147528234141472,118.64276830106974
lstm,FD001,raw+rolling_mean,5,,60,64,0.001,42,30,12059,2672,10,12.861154152666463,9.257252221074497,157.16767053119838
lstm,FD001,raw+rolling_mean,20,,60,64,0.001,42,30,12059,2672,4,11.879724659667762,8.622838398429124,107.96848765108734
lstm,FD001,raw+rolling_std,5,,60,64,0.001,42,30,12059,2672,2,16.262305849093153,12.297700979956705,85.09753427607939
lstm,FD001,raw+rolling_std,20,,60,64,0.001,42,30,12059,2672,2,17.497991369678058,13.528610716811604,99.80671829730272
lstm,FD001,raw+rolling_min,5,,60,64,0.001,42,30,12059,2672,4,13.181325722898796,9.419248207723918,106.85641256393865
lstm,FD001,raw+rolling_min,20,,60,64,0.001,42,30,12059,2672,4,14.583004514877258,10.157949701285487,95.64341486198828
lstm,FD001,raw+rolling_max,5,,60,64,0.001,42,30,12059,2672,4,12.889235890746022,9.526765248338792,102.50573824718595
lstm,FD001,raw+rolling_max,20,,60,64,0.001,42,30,12059,2672,2,13.193599751164982,9.758691562898736,81.21862238412723
lstm,FD001,raw+rolling_slope,5,,60,64,0.001,42,30,12059,2672,3,11.669785977313365,8.794765600491967,89.98060630774125
lstm,FD001,raw+rolling_slope,20,,60,64,0.001,42,30,12059,2672,4,9.289532839492166,6.833737566334497,100.76126657938585
lstm,FD001,raw+rolling_delta,5,,60,64,0.001,42,30,12059,2672,3,11.666563339760257,8.679402431335808,86.59546454297379
lstm,FD001,raw+rolling_delta,20,,60,64,0.001,42,30,12059,2672,4,10.337960248810914,7.5283128274151565,90.56487543741241
lstm,FD001,raw+lag,,1,60,64,0.001,42,30,12059,2672,12,12.327085574217357,8.839717602590795,165.40562682691962
lstm,FD001,raw+lag,,5,60,64,0.001,42,30,12059,2672,4,12.588760004383248,8.937458958368035,100.07420221203938
