architecture,subset,feature_config,rolling_window,lag_step,sequence_window,hidden_size,learning_rate,seed,n_features,n_train_windows,n_val_windows,best_epoch,val_rmse,val_mae,training_duration_seconds
lstm,FD004,raw,,,30,64,0.001,42,14,42960,11068,6,16.001680503691727,9.917984845845435,162.51391625823453
lstm,FD004,raw+rolling_mean,5,,30,64,0.001,42,28,42960,11068,6,16.030419225053265,9.745302800925359,159.50741147669032
lstm,FD004,raw+rolling_mean,20,,30,64,0.001,42,28,42960,11068,7,15.352692565445297,8.884530629536066,174.55323202488944
lstm,FD004,raw+rolling_std,5,,30,64,0.001,42,28,42960,11068,1,18.560496984097536,13.473254744176536,109.44738272810355
lstm,FD004,raw+rolling_std,20,,30,64,0.001,42,28,42960,11068,1,18.54877650071865,12.823679491498227,109.77039526542649
lstm,FD004,raw+rolling_min,5,,30,64,0.001,42,28,42960,11068,5,16.618994812321766,10.717546241387879,151.00807721167803
lstm,FD004,raw+rolling_min,20,,30,64,0.001,42,28,42960,11068,5,16.592294593473472,10.981182212060682,136.75167253799736
lstm,FD004,raw+rolling_max,5,,30,64,0.001,42,28,42960,11068,5,16.42670027487389,10.62472761514653,155.92469823500142
lstm,FD004,raw+rolling_max,20,,30,64,0.001,42,28,42960,11068,5,17.010578764616277,10.660318059981055,147.46426171809435
lstm,FD004,raw+rolling_slope,5,,30,64,0.001,42,28,42960,11068,2,16.612348559661424,10.450736434214063,115.3440145929344
lstm,FD004,raw+rolling_slope,20,,30,64,0.001,42,28,42960,11068,4,15.51856198599442,9.303043790355144,143.85557850683108
lstm,FD004,raw+rolling_delta,5,,30,64,0.001,42,28,42960,11068,2,16.62748410502183,10.47447011537815,117.20526626473293
lstm,FD004,raw+rolling_delta,20,,30,64,0.001,42,28,42960,11068,2,15.48114895505575,9.29753198335671,119.75990727171302
lstm,FD004,raw+lag,,1,30,64,0.001,42,28,42960,11068,6,16.459029103542697,10.137237303281916,162.70813136734068
lstm,FD004,raw+lag,,5,30,64,0.001,42,28,42960,11068,5,15.953445578035216,10.813512728335306,149.48154179099947
lstm,FD004,raw,,,60,64,0.001,42,14,36990,9568,6,15.492700972494918,9.96912908326347,176.99535756511614
lstm,FD004,raw+rolling_mean,5,,60,64,0.001,42,28,36990,9568,4,16.043892016108625,9.94745641646955,157.74690016917884
lstm,FD004,raw+rolling_mean,20,,60,64,0.001,42,28,36990,9568,5,15.644232988560935,8.877082193458575,171.8121137782
lstm,FD004,raw+rolling_std,5,,60,64,0.001,42,28,36990,9568,2,18.41060931190877,12.257714043722961,125.15396646922454
lstm,FD004,raw+rolling_std,20,,60,64,0.001,42,28,36990,9568,1,19.262784834665602,13.207743289699017,118.62570178182796
lstm,FD004,raw+rolling_min,5,,60,64,0.001,42,28,36990,9568,2,17.00346038205811,10.856258316871548,131.52804387593642
lstm,FD004,raw+rolling_min,20,,60,64,0.001,42,28,36990,9568,4,17.06879856535651,10.650299030017571,159.92073344998062
lstm,FD004,raw+rolling_max,5,,60,64,0.001,42,28,36990,9568,4,15.79815699313717,10.22586504831664,156.11182460887358
lstm,FD004,raw+rolling_max,20,,60,64,0.001,42,28,36990,9568,5,17.44653973146053,11.068585539394157,181.55535304779187
lstm,FD004,raw+rolling_slope,5,,60,64,0.001,42,28,36990,9568,2,17.827751772132416,11.066098900371307,129.3371666930616
lstm,FD004,raw+rolling_slope,20,,60,64,0.001,42,28,36990,9568,2,16.080962178558412,9.491492558172578,132.02117423014715
lstm,FD004,raw+rolling_delta,5,,60,64,0.001,42,28,36990,9568,2,17.004995252057817,10.604555863483705,124.95849374309182
lstm,FD004,raw+rolling_delta,20,,60,64,0.001,42,28,36990,9568,2,16.127344777859143,9.597713929678495,128.06895613996312
lstm,FD004,raw+lag,,1,60,64,0.001,42,28,36990,9568,6,15.36607877987632,9.505794384890551,173.00784227391705
lstm,FD004,raw+lag,,5,60,64,0.001,42,28,36990,9568,5,15.527786914184368,8.827101851004622,167.5782985687256
