model,feature_set,windows,lag_steps,n_features,best_epoch,n_engines_total,n_engines_padded,n_engines_full,rmse,mae,sequence_window_size,hidden_size,learning_rate
gru,rolling_mean,"(20,)",(),15,18,20,0,20,10.185826824238177,7.6050459188186075,60,64,0.0003
gru,rolling_mean,"(20,)",(),15,18,20,0,20,10.285240921110871,7.81174445437814,60,32,0.0003
gru,rolling_mean,"(10,)",(),15,21,20,0,20,10.396145006939692,7.777846302332435,60,64,0.0003
gru,rolling_mean,"(20,)",(),15,9,20,0,20,10.478772227870241,7.995524611011772,60,32,0.001
gru,rolling_mean,"(10,)",(),15,8,20,0,20,10.538991696692095,7.863584660347774,60,64,0.001
gru,rolling_mean,"(10,)",(),15,9,20,0,20,10.564428402374077,8.101284974098517,60,128,0.0003
gru,rolling_mean,"(20,)",(),15,8,20,0,20,10.597233807552437,7.936783403584812,60,64,0.001
gru,rolling_mean,"(20,)",(),15,9,20,0,20,10.60055685921007,8.083625224282306,60,128,0.0003
gru,rolling_mean,"(20,)",(),15,3,20,0,20,10.640909265231263,8.051734843341533,60,128,0.001
gru,rolling_mean,"(10,)",(),15,9,20,0,20,10.645180053930469,7.9677975123000895,60,32,0.001
gru,rolling_mean,"(10,)",(),15,24,20,0,20,10.674640252676674,8.233183782938086,60,32,0.0003
gru,rolling_mean,"(10,)",(),15,3,20,0,20,10.863640403812155,8.20726598247406,60,128,0.001
