model,feature_set,windows,lag_steps,n_features,best_epoch,n_engines_total,n_engines_padded,n_engines_full,rmse,mae,sequence_window_size,hidden_size,learning_rate
gru,raw_plus_rolling_mean,"(10,)",(),28,2,50,0,50,14.730309292361408,9.486305671515684,45,64,0.001
gru,raw_plus_rolling_mean,"(15,)",(),28,2,50,0,50,14.730695546843082,9.282788642305382,45,64,0.001
gru,raw_plus_rolling_mean,"(15,)",(),28,2,50,0,50,15.110515240376802,9.550642702608688,30,64,0.001
gru,raw_plus_rolling_mean,"(5,)",(),28,2,50,0,50,15.201043890679612,9.817258674255676,45,64,0.001
gru,raw_plus_rolling_mean,"(10,)",(),28,2,50,0,50,15.298973208687576,9.978527928924342,30,64,0.001
gru,raw,(),(),14,4,50,0,50,15.334505788422245,8.894901174157983,60,64,0.001
gru,raw_plus_rolling_mean,"(10,)",(),28,4,50,0,50,15.421416573772609,9.488708073857325,60,64,0.001
gru,raw,(),(),14,5,50,0,50,15.503570641085568,9.169302432924036,45,64,0.001
gru,raw_plus_rolling_mean,"(15,)",(),28,4,50,0,50,15.513461258163977,9.486410593683289,60,64,0.001
gru,raw_plus_rolling_mean,"(5,)",(),28,2,50,0,50,15.724756833104674,9.972797382791937,60,64,0.001
gru,raw,(),(),14,7,50,0,50,15.792848688793413,9.476463319856254,30,64,0.001
gru,raw_plus_rolling_mean,"(5,)",(),28,2,50,0,50,15.863923227469565,10.745275126314407,30,64,0.001
