model,feature_set,windows,lag_steps,n_features,best_epoch,rmse,mae,phm08_score
gru,rolling_mean,15,,16,3,13.173252296338813,9.948920398472703,22144.84328408805
gru,rolling_mean,20,,16,3,13.056897097639725,9.767600725696262,23229.48294790423
gru,rolling_mean,8,,16,4,13.38532524011666,10.003762100196568,25055.601997323425
gru,rolling_mean,10,,16,5,13.334777240184831,9.81002665109023,26244.46904322318
gru,rolling_mean,6,,16,5,13.405129419329707,9.783937347029603,26822.130233705924
gru,rolling_mean,4,,16,5,13.496259057098175,9.846704427975386,27292.02256299204
gru,raw_plus_rolling_mean,8,,32,5,13.779796670767222,10.122105639425236,28778.028686937105
gru,rolling_mean,2,,16,5,13.560002773532034,9.87662543272191,28900.096180174703
gru,raw_plus_rolling_mean,10,,32,5,13.718891399211826,10.060714759816836,29085.875133983493
gru,raw,,,16,3,14.043729944658901,10.309856263810968,29563.04517759954
gru,raw_plus_rolling_mean,6,,32,5,13.935119404345352,10.152072659315268,30921.143397316766
gru,raw_plus_rolling_mean,20,,32,1,13.860977183246357,10.217477430790684,31095.925290961124
gru,raw_plus_rolling_mean,2,,32,5,14.394518533932569,10.49507183502315,31566.27629532518
gru,raw_plus_rolling_mean,15,,32,5,14.13709027394324,10.324921722496333,31922.182560711084
gru,raw_plus_rolling_mean,4,,32,5,14.293205489016165,10.350767381840132,33478.042690035094
gru,raw_plus_lag,,4,32,1,21.126144954760726,16.331543573765924,113934.58718044465
gru,raw_plus_lag,,2,32,1,21.615562269041988,16.67936623250265,125889.83291822113
gru,raw_plus_lag,,8,32,1,22.539209219576865,17.175302258674474,136172.3632110726
gru,lag,,2,16,1,36.23780899438876,29.5746079986168,1448492.3726035715
gru,lag,,8,16,2,28.703878149502607,22.225253072805998,2172379.223772694
gru,lag,,4,16,2,31.572668466855436,24.25372238504313,3551725.319466807
