model,feature_set,windows,lag_steps,n_features,best_epoch,rmse,mae
gru,rolling_mean,15.0,,12,9,10.56594449023873,7.662011657751982
gru,rolling_mean,10.0,,12,9,10.567156460874497,7.629905398185273
gru,raw_plus_rolling_mean,10.0,,24,13,10.569232479241776,7.568339544036329
gru,raw_plus_rolling_mean,8.0,,24,13,10.569342810143272,7.605923534736217
gru,rolling_mean,8.0,,12,9,10.585971950404897,7.625759803522349
gru,raw_plus_rolling_mean,15.0,,24,13,10.6069063690594,7.708066810200914
gru,rolling_mean,6.0,,12,11,10.610063065224477,8.033040810883861
gru,raw_plus_rolling_mean,20.0,,24,5,10.634060158842058,7.828786719818558
gru,raw_plus_rolling_mean,6.0,,24,13,10.644456139914205,7.79234767603266
gru,raw_plus_rolling_mean,4.0,,24,13,10.687651472912796,7.840610763953284
gru,rolling_mean,2.0,,12,17,10.698352110051994,7.528985156616828
gru,rolling_mean,20.0,,12,9,10.73218100376548,7.967584318496718
gru,raw_plus_rolling_mean,2.0,,24,5,10.734801573894591,7.936115241642157
gru,rolling_mean,4.0,,12,17,10.745501882433093,7.354425149303537
gru,raw,,,12,9,10.968344914951034,8.214737474544451
gru,raw_plus_lag,,8.0,24,8,16.90623915463704,11.922806397757522
gru,raw_plus_lag,,4.0,24,3,19.39494269021554,14.65412590740396
gru,raw_plus_lag,,2.0,24,1,19.67979673724613,14.931188393720545
gru,lag,,8.0,12,11,19.761101416554144,14.799345973520024
gru,lag,,4.0,12,3,22.72092056735699,16.719500121721367
gru,lag,,2.0,12,4,24.535015568049293,18.80807780801302
