feature_set,windows,alpha,n_features,raw_prediction_min,raw_prediction_max,rmse,mae,phm08_score
raw_plus_rolling,20,100.0,70,-1238.168348456819,1157.0321146653769,23.516568440057892,17.350179785364656,226456.70194411668
raw_plus_rolling,5,100.0,70,-2874.284722402393,1176.8506200773807,23.833442645479547,17.800868565375133,469005.32915602066
raw_plus_rolling,10,100.0,70,-2676.0357157954904,2495.9698978080155,23.92314087851841,17.8796025740969,183191.62126711267
rolling,5,100.0,56,-2387.260864666849,1306.7302948229865,23.95760336017694,17.897429642903116,477216.17772821727
rolling,10,100.0,56,-1943.7681016051304,1673.8516364999011,24.330443469309643,18.28560099997209,159969.5823793622
rolling,20,100.0,56,-1064.334060292474,644.6175220646221,24.46203173616217,18.280484522288567,166276.79139725212
raw,,100.0,14,-1590.1084408472807,635.4378111555245,24.531553292700803,18.219793225573152,510878.25154554466
