model,feature_set,windows,lag_steps,n_features,best_epoch,n_engines_total,n_engines_padded,n_engines_full,rmse,mae,sequence_window_size,hidden_size,learning_rate
gru,raw,(),(),12,11,20,0,20,10.06739694788029,7.039750052130186,60,64,0.001
gru,raw,(),(),12,23,20,0,20,10.241766394329911,7.4205431787536815,60,128,0.0003
gru,rolling_mean,"(20,)",(),12,13,20,0,20,10.471004365638866,7.424826445463867,30,64,0.001
gru,raw,(),(),12,6,20,0,20,10.479775219835869,7.651484480043857,60,128,0.001
gru,raw,(),(),12,14,20,0,20,10.54993984367076,7.807331990968679,60,64,0.0003
gru,raw,(),(),12,24,20,0,20,10.570809276365669,7.870859952001853,60,32,0.0003
gru,raw,(),(),12,12,20,0,20,10.585486389288473,7.8407002198609295,60,32,0.001
gru,rolling_mean,"(20,)",(),12,15,20,0,20,10.817349135655729,7.79676512567408,30,32,0.001
gru,rolling_mean,"(20,)",(),12,12,20,0,20,10.974204850582861,7.684674202403594,30,128,0.001
gru,rolling_mean,"(20,)",(),12,15,20,0,20,10.983840810350266,8.11306818988975,30,128,0.0003
gru,rolling_mean,"(20,)",(),12,16,20,0,20,11.457956728985032,8.366883323688208,30,64,0.0003
gru,rolling_mean,"(20,)",(),12,16,20,0,20,11.558551831202097,8.596628210330048,30,32,0.0003
