model,feature_set,windows,lag_steps,n_features,alpha,rmse,mae
ridge,raw_plus_rolling_mean,6.0,,24,100.0,17.051301886556388,12.57827213032103
ridge,raw_plus_rolling_mean,4.0,,24,100.0,17.072976334144133,12.657214260138115
ridge,rolling_mean,4.0,,12,100.0,17.097265251658605,12.668557898181591
ridge,raw_plus_rolling_mean,8.0,,24,100.0,17.098936204255658,12.586651572223827
ridge,rolling_mean,6.0,,12,100.0,17.114496243161543,12.622161721517823
ridge,raw_plus_rolling_mean,10.0,,24,100.0,17.166651091098817,12.626483934110274
ridge,rolling_mean,8.0,,12,100.0,17.2219412222444,12.662676105100282
ridge,raw_plus_rolling_mean,15.0,,24,100.0,17.330749473278058,12.744690609592896
ridge,rolling_mean,10.0,,12,100.0,17.361126797037276,12.74360384725576
ridge,raw_plus_rolling_mean,2.0,,24,100.0,17.370049713152877,13.013762156010186
ridge,rolling_mean,2.0,,12,100.0,17.372767686484536,13.016953014803432
ridge,raw_plus_rolling_mean,20.0,,24,100.0,17.43937043491755,12.83878700847019
ridge,rolling_mean,15.0,,12,100.0,17.777466853010715,13.028812376933086
ridge,raw_plus_lag,,4.0,24,100.0,18.045969576084264,13.656999563578731
ridge,raw,,,12,100.0,18.0638353162586,13.701472809745985
ridge,raw_plus_lag,,8.0,24,100.0,18.063956501234426,13.705212912866344
ridge,raw_plus_lag,,2.0,24,100.0,18.070952998988854,13.70204940456625
ridge,rolling_mean,20.0,,12,100.0,18.23472766164264,13.384353713556605
ridge,lag,,2.0,12,100.0,41.0217884676176,35.38139719423915
ridge,lag,,4.0,12,100.0,41.132448964820526,35.59269594348795
ridge,lag,,8.0,12,100.0,41.15089559199917,35.60455582203123
