"window_size","hidden_size","learning_rate","best_epoch","rmse","mae","phm08_score","training_duration_seconds"
"45","128","0.0001","20","11.7393101478609","8.67989391751943","6161.05419367335","131.876707699994"
"45","64","0.001","3","11.9240229655233","9.16665022426647","6253.36756985504","52.6834895999928"
"45","64","0.0005","6","12.1380707447749","9.21728095944412","6391.44631558028","53.6242236999969"
"45","32","0.0001","46","12.0317203285959","8.94398252783321","6562.34239577188","148.815113999997"
"45","128","0.001","5","11.6640297842049","8.72979631755015","6565.44912969614","62.1862133000104"
"45","64","0.0001","25","12.0366897631027","8.93696380095634","6621.85559577165","126.448239899997"
"45","32","0.0005","13","12.1384108302851","8.91171957490261","6706.55436672805","63.9408701000211"
"45","128","0.0005","9","11.6978940453078","8.35902423918007","7252.52588400266","77.9681111999962"
"45","32","0.001","6","12.1959021162333","9.11861709664008","7507.36727906968","42.1053402999823"
"30","64","0.0001","32","13.3079198447929","9.87374773700004","9499.02248003442","111.651126700017"
"30","128","0.0001","18","13.1395508344918","9.69531742917046","9719.13914208952","94.3921723999956"
"30","128","0.0005","8","13.0984171889289","9.49056020282974","9845.6022231486","58.0770108000142"
"30","32","0.0005","11","13.2776636775569","9.91858147024598","10430.8645826774","42.1096388000005"
"30","32","0.0001","44","13.2942703884247","9.82652908055144","10529.9716896426","116.024972499989"
"30","32","0.001","7","13.2704187381263","9.7720865807348","11182.3688462739","34.0243048999982"
"30","64","0.0005","6","13.4735035937717","9.87855526199906","11189.8345139806","38.9201609999873"
"30","64","0.001","6","13.618704557575","9.87495377660481","11754.4211401312","39.4881063000066"
"30","128","0.001","6","13.3648686430594","9.42716464250119","11767.3387531467","51.6717582000128"
"20","64","0.0001","21","15.3423436063342","11.3124270546733","15925.9870004207","57.8218155000068"
"20","128","0.0001","24","15.1990928447807","11.1881183610547","16101.9717247081","82.6974989000009"
"20","32","0.001","6","15.1838723278584","11.2934464587667","16845.2304130016","24.5498791999999"
"20","128","0.001","5","15.1424422502191","11.3546689225646","17047.0585652556","33.0191335999989"
"20","128","0.0005","5","15.256593849495","11.3377423452896","17077.8503675995","32.8708700000134"
"20","64","0.001","5","15.4615152890349","11.4117928275644","18158.9642958002","25.2178421999852"
"20","32","0.0005","10","15.2541046158002","11.1816710121586","18405.7374546043","30.7683100999857"
"20","64","0.0005","5","15.4447437825186","11.4962398376705","18620.2766903594","26.0915207000216"
"20","32","0.0001","41","15.3574556918497","11.1177183889252","20137.0306957213","84.0272317000199"
"15","128","0.0001","15","16.4419636808049","12.3970394924811","21256.5801533267","46.0414836000127"
"15","64","0.0001","19","16.4618375475128","12.3821906038969","24196.2713855495","41.9841976999887"
"15","32","0.0005","11","16.3413217477681","12.0009269831892","24977.2267447775","45.1199297999847"
"15","32","0.0001","37","16.4045032894971","12.0343701720138","27146.7542464411","61.5090999999957"
"15","64","0.0005","12","16.6094050557929","12.3437604241371","28003.7258477821","31.0277494000038"
"15","32","0.001","8","16.545203073133","12.0628132284655","28167.644565873","22.1689070999855"
"15","128","0.0005","12","16.6923155493542","11.9650207983783","28626.0902041048","40.956437100016"
"15","64","0.001","4","16.577398990164","12.0329311864809","29085.0158638074","18.5242916000134"
"15","128","0.001","4","16.4065462014274","11.8512650561558","30999.6914174321","24.9570941999846"
