architecture,subset,feature_config,rolling_window,lag_step,sequence_window,hidden_size,learning_rate,seed,n_features,n_train_windows,n_val_windows,best_epoch,val_rmse,val_mae,training_duration_seconds
gru,FD001,raw,,,30,64,0.001,42,15,14459,3272,7,13.168188969098837,9.628700055899257,44.848917436785996
gru,FD001,raw+rolling_mean,5,,30,64,0.001,42,30,14459,3272,6,12.967471343540504,9.355602446522264,34.101168018300086
gru,FD001,raw+rolling_mean,20,,30,64,0.001,42,30,14459,3272,8,11.377008384162256,8.087115150664575,39.360187945887446
gru,FD001,raw+rolling_std,5,,30,64,0.001,42,30,14459,3272,2,15.595859857359322,12.18625888979395,23.80006174976006
gru,FD001,raw+rolling_std,20,,30,64,0.001,42,30,14459,3272,3,15.418659976034213,12.209930940984332,26.07072058832273
gru,FD001,raw+rolling_min,5,,30,64,0.001,42,30,14459,3272,6,12.918523709357194,9.720266796418517,33.207741333171725
gru,FD001,raw+rolling_min,20,,30,64,0.001,42,30,14459,3272,3,13.616631630395808,10.28318330980974,26.20671092811972
gru,FD001,raw+rolling_max,5,,30,64,0.001,42,30,14459,3272,8,13.65645819455539,9.738820812225452,38.04778995597735
gru,FD001,raw+rolling_max,20,,30,64,0.001,42,30,14459,3272,8,12.29034038637246,8.993435866254083,40.4879938820377
gru,FD001,raw+rolling_slope,5,,30,64,0.001,42,30,14459,3272,2,13.082708413398748,10.016572121981632,23.667568573728204
gru,FD001,raw+rolling_slope,20,,30,64,0.001,42,30,14459,3272,5,10.470367123478518,7.7216412101719705,30.794971075374633
gru,FD001,raw+rolling_delta,5,,30,64,0.001,42,30,14459,3272,2,13.22094232620171,10.091895411159925,23.776702816132456
gru,FD001,raw+rolling_delta,20,,30,64,0.001,42,30,14459,3272,2,11.192579585691318,8.234516547837984,23.65326127083972
gru,FD001,raw+lag,,1,30,64,0.001,42,30,14459,3272,6,13.411977580798828,9.90606772903271,33.30913428403437
gru,FD001,raw+lag,,5,30,64,0.001,42,30,14459,3272,7,12.822724699909061,9.658022713893,35.67663164716214
gru,FD001,raw,,,60,64,0.001,42,15,12059,2672,9,10.792833066124302,8.253261936636095,65.53354425681755
gru,FD001,raw+rolling_mean,5,,60,64,0.001,42,30,12059,2672,9,11.464528788146511,8.625236830464983,70.00644599180669
gru,FD001,raw+rolling_mean,20,,60,64,0.001,42,30,12059,2672,9,11.30672238841033,8.611877972834526,65.77442592196167
gru,FD001,raw+rolling_std,5,,60,64,0.001,42,30,12059,2672,2,14.674588380992324,11.186043438950588,37.38537403801456
gru,FD001,raw+rolling_std,20,,60,64,0.001,42,30,12059,2672,4,14.261380202498078,10.750715401235544,45.06715290201828
gru,FD001,raw+rolling_min,5,,60,64,0.001,42,30,12059,2672,5,11.853991300288975,8.857713841651929,48.9450184260495
gru,FD001,raw+rolling_min,20,,60,64,0.001,42,30,12059,2672,5,12.89717446621774,9.710870234103327,47.891598131041974
gru,FD001,raw+rolling_max,5,,60,64,0.001,42,30,12059,2672,5,11.85176699502287,8.946344909966438,50.5829633329995
gru,FD001,raw+rolling_max,20,,60,64,0.001,42,30,12059,2672,3,12.279595092379559,8.930847650154043,40.63126732502133
gru,FD001,raw+rolling_slope,5,,60,64,0.001,42,30,12059,2672,3,12.15390148322395,9.185373407872227,40.52781784022227
gru,FD001,raw+rolling_slope,20,,60,64,0.001,42,30,12059,2672,5,9.809568474315537,7.305675668279434,47.89200832368806
gru,FD001,raw+rolling_delta,5,,60,64,0.001,42,30,12059,2672,3,12.3095217563594,9.06957686136471,50.78934898972511
gru,FD001,raw+rolling_delta,20,,60,64,0.001,42,30,12059,2672,3,10.651579067491863,7.990441636728892,47.25675149494782
gru,FD001,raw+lag,,1,60,64,0.001,42,30,12059,2672,5,11.670877627006375,8.672221765803274,54.62758912332356
gru,FD001,raw+lag,,5,60,64,0.001,42,30,12059,2672,3,11.567400346620765,8.780304117125464,45.19181643798947
