model,feature_set,windows,lag_steps,n_features,alpha,rmse,mae
ridge,raw_plus_rolling_mean,20.0,,30,100.0,20.28061639846087,15.704251432182032
ridge,raw_plus_rolling_mean,15.0,,30,100.0,20.45195991680381,15.803245917257364
ridge,raw_plus_rolling_mean,10.0,,30,100.0,20.55916706495321,15.864912163021074
ridge,raw_plus_rolling_mean,8.0,,30,100.0,20.578015967822296,15.8911859786083
ridge,raw_plus_rolling_mean,6.0,,30,100.0,20.59098123736773,15.901627324699165
ridge,raw_plus_rolling_mean,4.0,,30,100.0,20.60879235988702,15.938120881194983
ridge,rolling_mean,4.0,,15,100.0,20.67046315239036,15.989863386471873
ridge,raw_plus_rolling_mean,2.0,,30,100.0,20.71575821934046,16.082899915575137
ridge,rolling_mean,2.0,,15,100.0,20.725416775230325,16.09276526773091
ridge,rolling_mean,6.0,,15,100.0,20.749288229876356,16.028105924406265
ridge,rolling_mean,8.0,,15,100.0,20.875275548320687,16.123120922307034
ridge,raw_plus_lag,,4.0,30,100.0,21.004930020892605,16.3732147006271
ridge,raw_plus_lag,,8.0,30,100.0,21.011732423103197,16.371549219366756
ridge,raw_plus_lag,,2.0,30,100.0,21.01397023156705,16.366697657104258
ridge,raw,,,15,100.0,21.02080189429098,16.38256090976485
ridge,rolling_mean,10.0,,15,100.0,21.029221122947423,16.232821055217254
ridge,rolling_mean,15.0,,15,100.0,21.47877211076561,16.540482630131418
ridge,rolling_mean,20.0,,15,100.0,21.982610449753107,16.90722077046759
ridge,lag,,2.0,15,100.0,41.76873120335774,36.56536580999551
ridge,lag,,4.0,15,100.0,41.77084478094323,36.58673564177322
ridge,lag,,8.0,15,100.0,41.865504857114615,36.71437478674459
