architecture,subset,feature_config,rolling_window,lag_step,sequence_window,hidden_size,learning_rate,seed,n_features,n_train_windows,n_val_windows,best_epoch,val_rmse,val_mae,training_duration_seconds
gru,FD004,raw,,,30,64,0.001,42,14,42960,11068,7,15.806551734870979,9.388913631895278,110.42798535479233
gru,FD004,raw+rolling_mean,5,,30,64,0.001,42,28,42960,11068,2,15.901282344008985,10.613286100011582,75.65342795290053
gru,FD004,raw+rolling_mean,20,,30,64,0.001,42,28,42960,11068,5,15.099615079186199,9.189396682561231,104.32459326740354
gru,FD004,raw+rolling_std,5,,30,64,0.001,42,28,42960,11068,2,17.829421912942873,12.475287013228431,87.29739222535864
gru,FD004,raw+rolling_std,20,,30,64,0.001,42,28,42960,11068,1,17.822563196622756,12.047959558015476,67.17167505202815
gru,FD004,raw+rolling_min,5,,30,64,0.001,42,28,42960,11068,5,16.57317647311494,10.650433276781632,121.07149169687182
gru,FD004,raw+rolling_min,20,,30,64,0.001,42,28,42960,11068,2,15.720539557196572,10.58609916204617,79.90211774082854
gru,FD004,raw+rolling_max,5,,30,64,0.001,42,28,42960,11068,2,16.11963355745017,10.857390212817343,78.314807087183
gru,FD004,raw+rolling_max,20,,30,64,0.001,42,28,42960,11068,2,16.25685961336664,10.923449176113566,79.63135612616315
gru,FD004,raw+rolling_slope,5,,30,64,0.001,42,28,42960,11068,2,16.533296248266506,10.440762082195596,80.17610070109367
gru,FD004,raw+rolling_slope,20,,30,64,0.001,42,28,42960,11068,2,15.16918069984198,9.256698447736374,75.21327043510973
gru,FD004,raw+rolling_delta,5,,30,64,0.001,42,28,42960,11068,2,16.81995423362094,10.563469664741982,83.27137515600771
gru,FD004,raw+rolling_delta,20,,30,64,0.001,42,28,42960,11068,2,15.27279341272363,9.43197846253388,78.24844324914739
gru,FD004,raw+lag,,1,30,64,0.001,42,28,42960,11068,2,15.969376589443293,10.87103964252526,75.27174865501001
gru,FD004,raw+lag,,5,30,64,0.001,42,28,42960,11068,2,15.85529192506573,10.523444635386303,79.55360357277095
gru,FD004,raw,,,60,64,0.001,42,14,36990,9568,4,15.375064413598087,8.938487242451748,153.3300613150932
gru,FD004,raw+rolling_mean,5,,60,64,0.001,42,28,36990,9568,2,15.831996606915615,10.044181262229392,122.38969866884872
gru,FD004,raw+rolling_mean,20,,60,64,0.001,42,28,36990,9568,5,15.32804195802292,9.074060712493239,155.75536320731044
gru,FD004,raw+rolling_std,5,,60,64,0.001,42,28,36990,9568,2,16.78721864191067,11.315650602157094,122.1264528837055
gru,FD004,raw+rolling_std,20,,60,64,0.001,42,28,36990,9568,2,17.617521154935524,11.591220468301389,118.73271268699318
gru,FD004,raw+rolling_min,5,,60,64,0.001,42,28,36990,9568,2,16.2923548417026,10.437381236867692,125.87257732916623
gru,FD004,raw+rolling_min,20,,60,64,0.001,42,28,36990,9568,3,16.326035584384,10.199410847836738,125.34170241560787
gru,FD004,raw+rolling_max,5,,60,64,0.001,42,28,36990,9568,2,15.854936512866622,10.05799094638024,117.43894690321758
gru,FD004,raw+rolling_max,20,,60,64,0.001,42,28,36990,9568,2,16.38504162239598,10.575035890758997,115.08293134905398
gru,FD004,raw+rolling_slope,5,,60,64,0.001,42,28,36990,9568,2,16.0130578565121,9.932513283455844,123.51556059531868
gru,FD004,raw+rolling_slope,20,,60,64,0.001,42,28,36990,9568,2,16.0889691783033,9.605305596940799,118.96598937595263
gru,FD004,raw+rolling_delta,5,,60,64,0.001,42,28,36990,9568,2,16.17883616604568,10.2945325976342,117.61638691974804
gru,FD004,raw+rolling_delta,20,,60,64,0.001,42,28,36990,9568,2,16.792959917747492,10.209896520639063,121.67809986276552
gru,FD004,raw+lag,,1,60,64,0.001,42,28,36990,9568,4,15.861360947033466,9.554119791924318,142.04128857003525
gru,FD004,raw+lag,,5,60,64,0.001,42,28,36990,9568,4,15.885526900896467,9.845772183572649,141.45491432817653
