model,feature_set,windows,lag_steps,n_features,alpha,rmse,mae
ridge,raw_plus_rolling_mean,6.0,,28,100.0,18.44061424656404,13.235122211687022
ridge,raw_plus_rolling_mean,8.0,,28,100.0,18.46579090719558,13.268954015641746
ridge,rolling_mean,6.0,,14,100.0,18.502275486106107,13.279978628688788
ridge,raw_plus_rolling_mean,4.0,,28,100.0,18.51280930312572,13.279000495555351
ridge,raw_plus_rolling_mean,10.0,,28,100.0,18.52569695183493,13.325692545287064
ridge,rolling_mean,4.0,,14,100.0,18.540490857666587,13.29699570194997
ridge,rolling_mean,8.0,,14,100.0,18.57804545081316,13.344318080307216
ridge,rolling_mean,10.0,,14,100.0,18.699932469706,13.44091261183062
ridge,raw_plus_rolling_mean,15.0,,28,100.0,18.70601208346861,13.508843461258683
ridge,raw_plus_rolling_mean,20.0,,28,100.0,18.888593451198847,13.68140277162732
ridge,raw_plus_rolling_mean,2.0,,28,100.0,18.971691817884512,13.636443415114782
ridge,rolling_mean,2.0,,14,100.0,18.976507659553786,13.63997708320279
ridge,rolling_mean,15.0,,14,100.0,19.07574509657258,13.765186881111736
ridge,rolling_mean,20.0,,14,100.0,19.497791175817586,14.130704371898164
ridge,raw_plus_lag,,8.0,28,100.0,20.005103906844035,14.495861166282042
ridge,raw,,,14,100.0,20.007909249602918,14.497330639678369
ridge,raw_plus_lag,,2.0,28,100.0,20.010837413118534,14.49880199934735
ridge,raw_plus_lag,,4.0,28,100.0,20.020208121497053,14.510119103073128
ridge,lag,,4.0,14,100.0,40.21853787663256,35.131481436538685
ridge,lag,,2.0,14,100.0,40.25835278549683,35.16752139469286
ridge,lag,,8.0,14,100.0,40.36514428615605,35.312604534826995
