model,feature_set,windows,lag_steps,n_features,best_epoch,rmse,mae,phm08_score
gru,rolling_mean,15,,15,12,10.906887290346306,7.908393963569748,5005.224476147343
gru,rolling_mean,20,,15,12,10.819381147622103,7.9218046309985475,5016.678009686486
gru,rolling_mean,10,,15,12,11.103119708016129,8.156659478652585,5259.878751877199
gru,raw_plus_rolling_mean,15,,30,5,10.99606131847548,8.532000412277045,5272.751299603173
gru,raw_plus_rolling_mean,10,,30,5,11.126567811083332,8.46263086247041,5349.985930221924
gru,raw,,,15,6,11.356696871545639,8.53167527739816,5528.571789407024
gru,raw_plus_rolling_mean,8,,30,5,11.182990027525708,8.388800130319728,5590.980774277894
gru,raw_plus_rolling_mean,20,,30,5,11.035932284356884,8.59341379193386,5655.08641673111
gru,raw_plus_rolling_mean,6,,30,5,11.376464217371232,8.43325281388115,6023.801682453459
gru,rolling_mean,8,,15,9,11.245078770125215,8.106470172302258,6173.769453721443
gru,rolling_mean,6,,15,9,11.281089724920081,8.147057158057734,6188.215767102791
gru,rolling_mean,4,,15,9,11.318678648969449,8.190131424145314,6244.310524758806
gru,rolling_mean,2,,15,10,11.466701582517752,8.502846668313934,6253.97129420662
gru,raw_plus_rolling_mean,4,,30,5,11.532841801983803,8.486086471986482,6333.402861504099
gru,raw_plus_rolling_mean,2,,30,5,11.629371436030487,8.653644494652186,6469.8894610498555
gru,raw_plus_lag,,4,30,22,21.87671967852951,16.4195341531621,51336.9781883122
gru,raw_plus_lag,,8,30,7,22.847693906980542,16.650611455438217,69575.58822124387
gru,raw_plus_lag,,2,30,2,22.063450526974503,16.235024455255385,107091.17998024735
gru,lag,,4,15,1,29.178778486057,22.784134889337388,244298.83917150504
gru,lag,,2,15,1,30.190617328468942,23.87627573940943,256605.4294489285
gru,lag,,8,15,1,28.927306599076143,22.150370653674837,469270.69959099084
